id,L,M,S,XL,XS,XXL,XXXL
746,19,0,11,14,22,17,14
747,4,1,22,14,16,24,15
748,19,23,9,16,28,7,0
749,20,25,20,21,26,4,14
750,17,8,27,26,27,2,2
751,15,27,15,18,9,18,24
752,25,7,10,14,20,20,4
753,12,22,21,9,8,20,20
754,22,17,25,0,10,28,20
755,8,26,28,14,12,6,23
756,1,4,20,9,0,25,22
757,8,1,26,3,28,0,21
758,15,7,19,24,13,6,15
759,24,16,20,20,1,24,18
760,26,23,14,19,8,21,22
761,26,19,20,9,22,3,28
762,16,13,18,14,13,21,22
763,10,11,19,1,26,19,22
764,10,10,23,19,17,23,9
765,13,13,9,14,23,21,17
766,1,25,1,27,19,22,23
767,20,18,0,0,2,5,25
768,14,28,14,3,10,26,9
769,11,22,14,13,23,5,14
770,9,22,28,7,27,10,13
771,4,16,15,28,27,0,2
772,2,3,7,24,6,10,19
773,16,18,0,13,17,0,11
774,11,0,11,1,24,1,7
775,5,13,12,12,8,22,14
776,9,10,20,18,25,14,16
777,24,7,19,22,28,28,23
778,22,17,6,27,25,24,27
779,25,3,25,20,24,16,2
780,2,2,4,4,4,17,10
781,22,17,10,27,28,20,6
782,20,0,7,6,7,24,16
783,19,27,14,3,9,5,13
784,1,23,6,22,5,10,21
785,5,2,26,16,15,11,6
786,24,20,1,9,6,23,9
787,26,11,0,24,7,4,7
788,24,24,26,4,16,18,7
789,21,21,3,28,25,24,19
790,24,21,15,23,19,14,3
791,13,13,6,11,28,11,12
792,19,16,16,23,10,10,7
793,27,22,11,22,10,0,4
794,25,0,24,14,0,26,9
795,11,20,3,22,19,7,6
796,18,25,28,28,14,8,11
797,23,27,22,16,16,3,20
798,22,26,4,7,0,9,1
799,15,1,4,1,25,25,4
800,14,16,24,18,11,19,16
801,10,0,0,20,23,6,21
802,23,0,13,13,24,0,18
803,16,7,1,11,11,23,3
804,24,10,22,10,5,1,5
805,28,28,27,15,15,16,6
806,27,14,28,16,0,21,21
807,25,26,13,26,12,13,26
808,6,20,3,24,3,19,19
809,25,13,6,23,4,20,15
810,27,25,7,5,7,7,18
811,20,2,4,20,27,17,2
812,25,12,21,9,4,6,20
813,10,7,22,4,26,0,0
814,16,7,17,2,22,17,27
815,2,21,13,21,28,5,10
816,28,26,20,8,10,4,10
817,6,15,9,4,16,20,6
818,4,11,10,15,19,17,14
819,5,28,17,20,25,0,20
820,19,24,12,15,26,9,2
821,7,8,6,8,6,15,19
822,21,1,27,4,10,9,11
823,9,12,3,12,14,3,27
824,10,17,9,8,9,21,22
825,22,11,26,22,6,13,6
826,11,19,21,6,22,4,5
827,6,2,15,25,24,4,11
828,1,17,23,3,22,0,25
829,11,0,5,7,1,16,13
830,24,28,17,11,3,9,9
831,6,25,10,14,7,22,27
832,1,2,5,18,23,16,3
833,2,2,10,16,14,25,3
834,15,4,1,1,4,11,7
835,15,26,17,0,18,7,0
836,27,5,19,13,23,24,16
837,19,23,1,4,5,13,15
838,27,14,16,20,6,0,27
839,22,8,23,26,5,3,10
840,13,6,11,20,17,1,5
841,0,10,11,16,8,10,4
842,18,3,21,11,27,4,18
843,23,13,19,12,15,15,27
844,14,26,4,17,0,17,16
845,17,19,15,9,26,11,0
846,24,21,8,8,2,19,14
847,6,7,8,16,4,20,28
848,8,8,7,3,23,19,20
849,14,27,18,8,21,18,10
850,3,4,21,14,2,4,0
851,26,13,22,24,16,13,3
852,13,22,11,19,12,12,21
853,16,2,17,26,16,23,26
854,9,28,25,0,21,13,21
855,22,21,11,28,25,10,13
856,3,10,5,26,16,15,22
857,25,26,10,20,7,27,19
858,22,21,11,12,17,0,22
859,26,16,15,6,20,10,26
860,0,22,8,21,13,1,27
861,9,10,13,11,22,6,21
862,14,7,1,4,14,9,27
863,0,0,17,2,27,5,19
864,1,0,0,11,11,14,20
865,6,5,26,18,26,0,23
866,4,16,19,3,26,1,27
867,10,17,24,13,5,24,27
868,14,25,1,10,4,7,2
869,21,20,27,0,18,22,22
870,2,0,15,10,20,15,17
871,15,16,19,27,27,4,10
872,2,19,10,10,4,2,10
873,22,22,9,13,15,12,1
874,26,22,19,27,11,23,16
875,14,9,14,21,25,24,27
876,20,17,27,22,19,26,2
877,7,25,7,7,4,5,23
878,26,20,4,26,26,16,3
879,13,23,13,0,17,21,22
880,4,14,5,12,6,12,3
881,12,16,22,0,28,24,11
882,13,3,7,3,15,18,2
883,27,2,0,28,7,3,3
884,1,5,24,19,25,2,10
885,15,9,24,7,21,7,28
886,5,14,3,27,9,0,13
887,9,16,11,22,27,6,5
888,3,19,0,14,19,10,21
889,22,3,28,8,9,13,25
890,19,22,20,0,19,21,4
891,9,7,3,26,7,25,20
892,18,11,9,16,7,27,14
893,3,8,11,21,26,7,22
894,17,18,23,5,5,17,23
895,20,3,25,18,6,8,9
896,8,23,27,12,15,10,25
897,22,20,13,22,9,22,17
898,12,15,21,12,1,2,18
899,26,20,24,2,8,7,7
900,2,14,16,26,19,11,21
901,27,4,15,22,10,18,20
902,5,1,2,6,3,6,19
903,0,16,3,26,26,15,11
904,10,1,15,8,0,0,2
905,10,11,1,17,0,2,12
906,7,2,19,9,28,0,9
907,21,2,8,24,5,21,26
908,0,19,9,27,9,13,4
909,18,5,10,1,9,25,9
910,12,13,22,12,17,23,4
911,24,17,25,12,4,15,26
912,9,13,14,28,28,11,27
913,13,20,8,11,18,26,11
914,28,2,24,14,19,22,10
915,22,11,22,15,3,17,18
916,22,21,11,23,27,24,6
917,22,0,23,15,19,10,20
918,25,25,15,18,4,6,13
919,8,3,13,1,3,26,7
920,27,7,1,7,9,24,13
921,1,3,23,17,6,21,12
922,14,23,12,12,1,9,7
923,2,13,28,11,7,7,12
924,9,9,15,18,9,13,14
925,28,17,21,18,21,8,5
926,21,16,3,8,20,22,24
927,20,8,27,21,10,1,20
928,22,7,2,14,9,8,26
929,27,0,28,22,2,6,5
930,10,4,16,11,3,18,21
931,23,11,2,25,1,7,22
932,10,4,13,13,25,1,0
933,11,8,26,20,19,4,24
934,7,19,1,0,28,5,4
935,2,7,12,5,23,0,8
936,25,22,25,25,7,15,10
937,27,23,12,20,16,5,5
938,2,9,8,13,18,1,27
939,26,8,12,18,4,13,6
940,20,0,27,9,19,20,2
941,9,15,14,26,0,9,11
942,18,9,16,26,6,8,8
943,2,23,20,26,11,24,13
944,21,6,24,12,14,12,13
945,19,13,5,8,4,13,22
946,26,4,28,18,16,4,20
947,4,20,4,14,0,11,1
948,26,27,15,4,20,21,17
949,20,11,20,5,12,28,18
950,21,3,12,24,11,24,25
951,2,11,8,8,11,24,3
952,12,17,0,25,20,2,9
953,27,21,19,28,15,0,24
954,2,23,7,6,0,6,5
955,9,17,0,21,0,18,28
956,15,11,19,22,19,25,4
957,4,23,4,18,22,1,3
958,25,7,25,3,27,9,3
959,4,11,24,4,11,19,2
960,17,24,12,15,20,21,26
961,26,5,13,16,25,2,5
962,5,15,2,28,27,17,14
963,25,21,24,24,22,1,18
964,24,15,6,6,27,5,27
965,20,7,25,22,22,19,6
966,13,9,12,9,23,15,15
967,0,10,1,13,5,20,18
968,19,18,5,27,11,27,26
969,9,14,7,17,7,14,14
970,11,15,25,3,10,13,7
971,26,19,15,27,25,18,21
972,13,9,28,1,26,11,5
973,9,6,18,21,21,15,24
974,15,20,5,24,18,3,19
975,2,1,25,5,4,12,11
976,5,14,25,8,26,5,21
977,28,14,20,19,25,5,3
978,25,10,27,18,19,13,3
979,7,24,25,27,16,25,3
980,19,28,11,13,2,1,17
981,28,7,4,5,25,7,20
982,22,5,6,19,4,26,28
983,25,19,26,18,14,22,27
984,26,1,12,25,4,19,3
985,20,25,24,14,1,3,23
986,28,17,8,27,24,17,8
987,20,17,10,13,1,1,2
988,10,21,17,28,27,8,6
989,10,18,13,23,20,5,4
990,14,5,2,2,20,12,14
991,7,17,5,14,19,3,11
992,7,19,21,16,5,12,11
993,28,26,15,0,12,1,24
994,12,24,4,11,20,19,24
995,25,17,17,28,14,15,21
996,2,8,27,24,28,22,0
997,21,9,19,0,10,22,6
998,24,11,26,6,13,16,9
999,24,15,3,12,8,12,20
1000,9,22,10,6,0,2,17
1,3,11,26,24,27,14,28
2,25,25,21,13,23,7,25
3,13,19,28,2,3,20,20
4,16,26,4,18,7,20,14
5,21,2,24,20,20,26,5
6,20,26,20,13,7,24,21
7,16,5,14,4,17,5,28
8,24,6,23,16,24,10,0
9,14,24,18,27,13,2,14
10,24,26,18,1,7,16,5
11,25,9,6,20,24,4,7
12,6,17,26,15,28,21,10
13,22,18,20,2,21,24,9
14,13,10,10,10,2,3,4
15,28,18,11,7,23,21,12
16,5,1,18,21,22,21,8
17,22,19,4,10,15,22,9
18,14,24,4,22,28,27,7
19,17,10,23,13,11,11,26
20,12,14,5,24,28,11,7
21,8,23,24,23,3,1,24
22,21,14,20,17,0,0,1
23,19,8,25,28,2,5,28
24,5,4,9,10,2,12,13
25,26,24,3,27,18,8,14
26,15,6,8,27,22,6,19
27,26,17,19,21,10,23,12
28,19,22,28,24,28,26,27
29,7,20,14,4,17,6,27
30,24,27,11,23,12,18,26
31,23,26,14,16,26,3,21
32,18,1,9,1,3,16,20
33,9,17,21,11,11,24,26
34,28,6,11,16,11,22,28
35,12,12,12,4,16,3,18
36,26,14,11,5,22,4,14
37,14,8,17,28,13,10,10
38,3,0,17,14,15,2,21
39,22,24,28,14,26,21,9
40,20,5,27,19,23,8,4
41,18,12,28,8,22,3,1
42,3,22,19,17,14,4,16
43,22,9,2,2,16,25,7
44,12,3,8,21,8,22,15
45,5,20,0,10,23,0,23
46,10,9,15,24,19,17,13
47,4,7,5,22,22,22,21
48,21,25,13,12,7,6,0
49,26,6,0,3,22,8,12
50,10,2,28,6,4,22,18
51,24,24,23,13,25,3,11
52,2,0,4,3,16,27,15
53,19,2,17,16,19,12,9
54,22,11,18,2,19,23,6
55,16,21,16,4,19,0,27
56,12,8,21,18,18,9,15
57,27,5,10,20,9,19,10
58,28,3,10,1,15,22,18
59,7,9,18,10,5,25,26
60,25,6,27,10,20,9,8
61,7,13,26,23,6,25,26
62,23,25,6,6,2,17,11
63,19,1,26,20,12,4,26
64,10,0,3,20,7,1,1
65,3,15,16,21,18,7,12
66,3,20,15,0,3,11,3
67,11,0,26,20,27,9,21
68,6,11,23,11,11,5,25
69,14,10,4,13,13,21,27
70,23,24,1,15,27,24,9
71,13,12,10,27,20,0,24
72,0,10,10,7,18,19,24
73,10,1,24,19,19,25,4
74,3,10,0,18,20,6,10
75,18,9,25,5,17,8,14
76,24,25,12,11,28,23,3
77,0,28,8,18,28,18,24
78,15,2,5,6,5,7,25
79,10,23,1,7,1,9,10
80,9,27,8,11,28,6,12
81,15,12,27,21,3,8,17
82,21,6,23,0,24,15,2
83,13,21,12,18,5,28,17
84,13,11,0,18,22,7,8
85,15,22,3,16,22,9,14
86,22,23,9,18,21,4,23
87,21,25,13,3,7,17,12
88,3,17,11,23,14,17,0
89,10,1,20,17,10,6,23
90,16,5,16,10,11,0,2
91,1,22,11,3,0,9,10
92,7,10,13,6,11,26,6
93,6,4,1,27,5,10,3
94,10,16,17,25,8,21,17
95,13,21,21,14,22,1,7
96,1,28,13,5,16,22,28
97,9,11,17,8,14,23,25
98,13,6,12,2,13,3,9
99,14,24,9,25,1,22,22
100,3,25,22,1,25,18,8
101,28,24,0,26,14,5,12
102,17,3,14,19,9,23,6
103,24,6,14,4,21,9,22
104,9,25,4,4,1,7,12
105,4,5,6,12,1,0,21
106,10,8,19,9,22,11,28
107,6,21,4,14,6,20,0
108,19,4,1,15,10,21,12
109,11,3,19,1,12,18,28
110,16,13,16,13,23,3,11
111,24,5,20,7,3,0,17
112,17,19,7,12,7,5,7
113,9,2,20,4,18,9,25
114,22,21,28,9,13,2,26
115,5,25,24,15,0,10,21
116,9,5,24,22,26,1,11
117,5,5,25,28,8,22,1
118,15,28,18,15,18,0,22
119,22,2,5,25,6,21,8
120,8,14,9,15,3,15,25
121,27,15,12,18,28,18,8
122,27,4,10,22,20,10,8
123,11,16,15,15,21,21,7
124,23,11,5,26,19,5,10
125,24,2,17,11,26,18,15
126,17,3,23,9,12,3,12
127,9,8,15,14,16,18,21
128,21,26,23,23,27,2,25
129,24,12,7,24,1,16,7
130,19,15,22,12,17,13,9
131,24,8,17,28,5,6,15
132,20,14,5,5,5,21,4
133,12,24,17,21,2,0,18
134,3,22,11,0,23,27,0
135,16,8,18,23,5,19,6
136,8,5,27,14,26,24,13
137,0,21,5,12,8,8,9
138,20,26,21,5,28,23,13
139,24,17,10,20,1,19,26
140,4,20,15,16,10,28,25
141,15,18,14,2,23,23,19
142,0,3,7,27,24,19,20
143,26,23,12,28,23,12,11
144,17,0,23,7,17,13,26
145,4,3,13,15,4,28,0
146,1,5,21,10,28,25,0
147,13,5,16,1,5,13,10
148,1,18,22,4,24,15,22
149,8,22,2,15,12,28,21
150,11,20,2,25,24,9,10
151,27,21,4,3,2,9,7
152,8,25,11,5,5,7,0
153,4,15,19,22,28,13,12
154,8,12,0,3,15,11,14
155,4,5,21,23,8,22,23
156,6,10,22,20,22,25,0
157,13,13,7,23,28,7,25
158,28,19,0,21,21,14,28
159,28,6,0,0,26,11,8
160,10,17,5,10,28,18,9
161,22,15,12,25,16,19,2
162,27,16,16,18,24,0,28
163,21,7,14,8,0,20,2
164,20,18,10,13,12,7,15
165,3,6,11,28,7,25,15
166,2,22,0,11,26,8,17
167,8,4,10,20,15,9,12
168,21,24,11,26,4,15,5
169,20,22,24,15,20,10,28
170,13,10,4,20,8,19,13
171,28,12,27,12,18,20,23
172,2,10,22,20,11,13,27
173,2,25,26,16,14,27,2
174,28,25,6,21,8,16,20
175,28,7,9,12,21,28,0
176,25,22,19,14,12,9,14
177,27,9,23,15,18,7,28
178,10,3,20,16,14,17,4
179,2,21,14,8,22,27,12
180,5,11,27,15,0,1,13
181,25,9,19,1,28,25,17
182,22,9,6,1,25,2,16
183,21,9,6,21,0,24,12
184,19,20,22,22,10,20,20
185,21,9,4,0,8,10,11
186,28,22,23,3,21,4,1
187,3,19,12,14,22,3,21
188,13,1,13,26,10,15,11
189,17,28,9,22,28,18,9
190,6,26,16,11,17,16,11
191,7,12,3,19,27,4,23
192,28,6,14,22,13,24,14
193,7,1,10,26,11,21,0
194,3,9,23,25,14,5,13
195,16,1,20,22,6,9,24
196,0,1,5,1,16,8,13
197,21,22,3,2,1,19,1
198,13,4,22,24,26,21,15
199,16,24,27,9,9,0,27
200,10,4,15,16,4,9,9
201,11,8,0,26,14,24,20
202,14,5,22,0,17,13,28
203,2,12,6,27,28,28,28
204,28,17,28,7,22,0,3
205,1,21,21,2,24,13,18
206,25,19,12,16,2,0,15
207,22,10,16,28,1,2,7
208,9,22,0,24,14,6,7
209,10,4,2,10,9,14,24
210,14,3,6,18,20,2,1
211,26,9,5,18,18,4,23
212,4,17,9,21,5,23,3
213,13,14,5,6,2,4,0
214,0,8,11,1,3,28,25
215,18,8,5,18,22,13,18
216,18,14,23,3,16,17,18
217,3,21,4,28,7,12,0
218,16,7,13,3,0,16,4
219,8,15,15,4,25,0,3
220,26,26,10,1,12,12,8
221,13,17,11,27,2,4,13
222,28,7,14,8,24,23,7
223,26,6,21,8,7,20,7
224,13,20,11,23,1,17,3
225,27,8,11,27,25,18,3
226,11,15,14,20,7,14,13
227,15,9,27,24,12,0,4
228,20,4,7,5,22,28,8
229,8,27,25,10,3,25,19
230,5,28,12,19,23,1,22
231,0,26,9,5,3,11,10
232,1,9,23,8,27,8,25
233,1,23,7,27,4,11,14
234,0,23,23,21,6,26,0
235,3,11,17,23,11,1,12
236,17,11,12,10,6,2,24
237,23,24,11,23,14,28,12
238,19,12,1,28,23,21,8
239,1,28,11,20,6,26,26
240,2,9,4,26,6,25,17
241,12,6,17,25,3,19,1
242,18,11,25,21,0,20,13
243,8,26,11,14,6,20,9
244,10,6,0,22,10,2,11
245,6,19,5,11,17,14,3
246,20,1,11,17,6,3,0
247,6,0,24,10,24,3,24
248,2,2,19,28,26,18,1
249,17,18,21,23,18,5,7
250,21,23,28,16,1,23,12
251,7,5,25,5,9,8,13
252,13,9,3,1,12,4,15
253,2,13,8,26,5,2,0
254,3,11,22,21,25,6,27
255,7,11,4,23,28,11,23
256,17,21,9,6,27,4,8
257,16,23,17,24,22,27,19
258,17,17,27,0,18,2,14
259,14,14,5,15,10,14,13
260,15,20,24,17,13,26,4
261,28,5,15,22,7,18,17
262,28,14,8,18,3,19,22
263,11,19,14,25,4,8,18
264,17,6,24,10,0,6,17
265,16,21,7,11,5,4,26
266,0,2,20,18,27,27,1
267,20,11,5,7,25,12,22
268,17,28,18,26,22,16,9
269,26,7,11,8,21,13,9
270,25,13,9,16,18,24,17
271,20,6,27,12,1,16,0
272,2,24,4,4,26,5,21
273,13,20,14,28,7,13,10
274,11,26,10,25,13,17,15
275,4,8,1,19,11,21,25
276,18,2,26,28,11,11,3
277,3,11,5,9,20,18,0
278,7,17,9,21,5,13,2
279,14,6,14,5,0,7,7
280,0,12,24,22,10,21,1
281,18,12,9,23,25,7,10
282,8,18,7,8,4,3,0
283,8,7,14,17,0,14,22
284,7,13,19,4,20,20,28
285,21,12,8,17,26,12,22
286,21,16,18,1,5,25,13
287,19,24,16,10,13,1,20
288,15,2,20,25,27,24,27
289,18,20,11,9,6,9,23
290,16,16,10,15,27,1,7
291,22,2,19,9,18,6,11
292,10,15,21,14,18,6,26
293,8,18,3,25,6,4,28
294,5,10,9,22,2,13,4
295,13,14,9,16,19,11,7
296,1,20,6,15,1,27,8
297,5,19,14,25,27,24,15
298,22,10,8,21,22,7,6
299,11,23,2,5,25,23,22
300,23,21,8,17,26,2,1
301,21,1,1,17,22,7,1
302,9,22,3,21,1,15,13
303,5,4,5,20,16,5,13
304,20,25,27,0,7,7,14
305,5,8,22,22,1,22,14
306,4,6,23,3,19,17,21
307,14,4,6,21,22,1,17
308,23,11,25,28,5,8,8
309,12,12,12,12,7,20,14
310,27,10,24,16,3,15,24
311,10,28,18,17,24,11,0
312,16,23,19,20,2,14,2
313,8,8,12,21,13,13,20
314,27,28,4,17,15,13,22
315,24,22,13,15,2,0,28
316,2,6,11,13,4,22,10
317,23,14,8,7,12,12,12
318,27,11,4,27,8,21,7
319,8,11,1,17,9,15,12
320,22,26,8,7,0,25,12
321,27,19,21,8,6,17,6
322,22,5,18,20,10,8,20
323,11,28,2,20,13,17,11
324,14,24,7,13,4,24,24
325,11,11,12,28,8,1,16
326,1,25,27,20,10,14,11
327,13,3,21,12,16,20,15
328,13,3,11,13,3,19,27
329,12,4,19,9,16,0,12
330,18,28,25,20,10,2,26
331,10,18,7,2,5,7,21
332,4,15,16,13,25,13,0
333,21,15,17,17,8,7,14
334,19,12,22,0,4,3,12
335,12,25,14,2,13,7,22
336,2,15,19,7,24,28,20
337,4,25,16,0,17,18,14
338,13,28,0,28,15,12,24
339,27,13,12,25,17,8,13
340,7,6,21,23,17,23,27
341,24,13,27,21,14,9,11
342,2,24,28,21,12,25,0
343,19,18,24,14,9,27,3
344,27,15,27,25,20,2,4
345,22,27,26,24,14,9,1
346,13,5,11,7,20,15,16
347,26,9,17,28,20,25,2
348,26,16,25,19,11,21,27
349,15,23,23,24,20,23,3
350,3,20,11,26,9,24,3
351,7,0,17,10,12,1,13
352,24,25,12,7,0,0,19
353,26,9,6,20,21,2,24
354,4,0,18,2,14,18,2
355,7,12,8,10,27,18,0
356,10,28,13,5,0,22,11
357,1,9,18,21,9,1,8
358,4,14,17,13,2,26,9
359,21,19,11,19,26,16,11
360,11,0,12,17,17,0,0
361,3,22,2,25,28,16,13
362,22,28,12,7,19,22,1
363,9,18,20,22,16,1,3
364,1,14,25,9,27,25,24
365,28,28,17,15,2,4,10
366,1,21,13,26,12,23,27
367,10,0,18,1,1,17,3
368,24,1,18,11,4,17,2
369,9,4,6,14,0,20,27
370,6,9,27,27,25,14,20
371,14,7,17,25,9,17,7
372,7,15,3,1,22,4,5
373,14,13,0,26,11,24,26
374,5,6,13,2,9,1,17
375,2,28,26,20,3,28,21
376,4,15,16,27,23,8,5
377,14,11,4,2,17,14,9
378,10,0,0,24,3,8,25
379,3,12,1,2,18,3,5
380,14,21,10,11,19,3,17
381,23,13,11,28,17,15,10
382,10,27,19,6,6,11,26
383,20,19,4,23,22,7,15
384,19,18,17,13,20,0,25
385,1,2,6,9,16,22,10
386,15,22,13,2,9,19,0
387,20,4,24,9,19,23,25
388,1,9,6,8,0,0,4
389,21,15,4,3,24,21,19
390,20,1,3,23,26,20,28
391,11,2,14,22,19,21,2
392,8,13,3,4,14,25,14
393,24,18,13,8,17,6,13
394,18,6,14,24,3,4,12
395,22,24,3,0,21,23,5
396,26,10,16,13,12,1,3
397,27,2,19,8,6,18,11
398,8,5,11,10,24,9,9
399,21,26,4,5,5,21,11
400,21,10,16,1,24,7,12
401,6,23,22,4,2,13,25
402,11,25,2,6,25,1,24
403,1,7,12,26,26,8,3
404,28,11,2,11,19,1,25
405,24,7,14,24,20,4,9
406,22,28,19,5,7,3,24
407,12,16,4,8,4,11,6
408,1,22,8,14,22,21,13
409,5,27,13,21,7,0,18
410,18,13,1,17,1,10,3
411,5,27,28,23,4,3,20
412,13,10,20,16,9,23,18
413,18,9,23,6,13,3,3
414,23,14,13,13,22,13,20
415,8,11,13,1,9,11,13
416,24,26,12,28,27,21,23
417,11,18,17,27,3,13,27
418,25,6,28,8,20,18,27
419,13,22,8,0,12,16,9
420,28,9,16,11,1,4,1
421,27,15,2,9,2,10,22
422,5,20,21,7,23,22,17
423,0,21,22,2,4,3,17
424,7,13,12,14,0,26,20
425,23,26,11,23,5,28,15
426,15,20,7,3,2,25,27
427,24,5,10,0,15,16,23
428,16,12,4,9,4,23,20
429,13,7,25,6,7,7,19
430,20,23,9,13,1,5,19
431,26,14,2,2,17,25,2
432,17,7,9,8,12,28,18
433,1,9,27,21,5,24,12
434,2,25,5,13,14,22,0
435,13,13,15,5,26,22,9
436,5,5,5,27,25,17,6
437,13,18,2,20,22,3,4
438,1,2,0,1,24,3,19
439,18,14,7,4,10,26,3
440,2,3,2,13,24,9,6
441,18,1,11,12,22,16,23
442,10,17,25,17,25,20,21
443,9,16,18,21,14,13,0
444,20,2,18,6,0,4,4
445,23,17,0,23,4,2,5
446,5,7,19,13,12,7,15
447,1,7,9,14,11,17,7
448,23,15,22,27,2,25,19
449,5,19,18,22,12,12,26
450,19,17,20,5,25,22,18
451,21,4,4,6,4,26,17
452,6,2,27,25,6,27,19
453,1,12,24,24,15,13,8
454,7,2,9,12,17,20,24
455,16,25,0,26,3,19,25
456,3,5,15,3,8,9,26
457,27,15,7,18,14,10,3
458,28,26,23,3,19,26,0
459,24,26,1,28,19,26,11
460,14,27,5,17,20,28,9
461,8,1,11,13,10,26,23
462,26,27,27,21,19,28,14
463,5,21,11,19,20,5,4
464,14,28,20,0,17,23,22
465,5,18,26,23,15,4,13
466,6,27,5,3,9,0,6
467,13,8,3,4,26,26,6
468,7,12,4,26,8,13,18
469,25,6,14,8,27,0,5
470,16,9,8,13,13,21,9
471,23,9,17,13,2,6,6
472,6,21,5,15,7,16,6
473,13,8,19,22,4,16,28
474,8,9,4,20,23,15,9
475,7,22,20,0,13,2,2
476,17,5,18,11,19,7,0
477,19,12,11,7,16,24,24
478,24,8,0,13,13,21,22
479,14,19,27,7,11,24,7
480,4,24,27,13,9,11,16
481,21,26,0,6,6,25,19
482,15,8,22,7,0,21,27
483,22,0,13,8,27,4,23
484,3,0,26,2,17,16,19
485,16,2,8,5,22,11,10
486,4,26,4,24,2,6,17
487,19,26,18,22,0,10,4
488,21,16,14,27,18,7,5
489,28,21,20,6,8,6,12
490,4,7,18,15,28,26,2
491,22,10,28,4,18,26,0
492,0,23,23,1,23,18,15
493,14,22,24,9,10,7,2
494,13,26,25,10,10,5,0
495,28,13,16,6,8,27,5
496,10,26,7,3,7,18,18
497,21,14,25,6,17,14,3
498,4,18,10,12,28,21,4
499,3,19,10,11,13,14,0
500,23,12,4,10,11,5,2
501,1,15,27,27,5,14,2
502,23,4,25,26,5,23,9
503,25,27,6,26,13,10,25
504,28,9,27,5,15,28,13
505,10,22,6,28,8,26,16
506,15,27,17,20,4,8,15
507,23,14,17,25,19,12,1
508,28,14,8,12,25,2,6
509,6,25,14,23,9,15,21
510,19,10,6,17,3,10,19
511,18,4,18,18,24,22,14
512,2,22,11,17,19,0,11
513,13,3,23,1,11,2,15
514,10,18,24,25,5,6,13
515,24,8,6,2,6,24,16
516,25,5,11,21,23,2,13
517,8,28,10,7,27,13,27
518,0,10,5,25,26,24,24
519,20,13,13,11,28,10,20
520,5,18,13,9,19,3,6
521,13,28,27,2,17,21,23
522,2,17,5,25,7,7,16
523,22,20,4,1,28,7,26
524,0,14,25,20,17,14,2
525,28,21,3,8,26,22,8
526,17,27,19,26,15,2,4
527,8,15,11,19,28,4,10
528,15,15,19,22,26,8,21
529,18,13,3,12,0,28,27
530,25,2,6,7,3,16,20
531,3,6,21,9,17,24,11
532,1,12,20,3,19,26,27
533,23,1,11,19,10,19,25
534,7,22,22,23,9,4,9
535,16,7,11,18,1,11,11
536,4,6,21,19,1,8,8
537,19,2,27,0,25,22,0
538,0,11,14,9,5,22,16
539,15,16,4,11,5,23,21
540,15,24,23,4,13,23,21
541,14,20,17,23,4,5,6
542,2,20,9,16,16,17,22
543,23,2,3,23,25,14,10
544,24,18,12,6,8,28,3
545,28,5,20,12,12,3,0
546,27,11,4,16,10,4,10
547,6,1,9,18,4,17,19
548,28,22,16,1,8,18,23
549,5,2,10,5,12,25,9
550,12,10,16,27,28,24,19
551,16,2,3,27,13,6,9
552,2,4,14,16,2,13,27
553,4,10,19,19,11,20,14
554,25,7,6,18,19,16,2
555,20,10,26,11,9,3,20
556,21,2,2,19,6,6,22
557,15,4,28,0,11,11,28
558,16,3,4,21,10,15,11
559,12,9,19,4,25,4,24
560,2,3,12,4,15,20,4
561,16,6,17,14,6,2,25
562,14,28,13,19,25,6,16
563,26,1,26,27,21,13,6
564,20,24,14,14,4,19,21
565,22,19,27,1,15,5,15
566,16,15,15,21,13,5,22
567,26,20,1,16,26,3,10
568,16,25,21,21,12,20,0
569,23,1,15,15,21,12,4
570,1,26,14,18,17,8,3
571,3,4,23,18,5,8,13
572,26,4,10,20,21,0,3
573,21,18,4,25,9,25,2
574,15,0,19,12,26,10,22
575,0,27,18,25,15,17,11
576,21,25,21,25,5,19,18
577,8,28,21,3,9,5,1
578,10,10,16,18,7,1,27
579,23,4,7,17,2,2,22
580,10,8,17,5,10,6,3
581,1,21,7,20,18,26,25
582,26,20,0,18,3,25,25
583,0,26,11,1,25,23,20
584,7,0,14,4,22,27,9
585,14,4,6,25,28,14,22
586,28,24,22,2,17,14,25
587,21,24,1,6,15,8,24
588,27,7,14,27,4,14,14
589,8,27,3,24,3,18,6
590,20,15,21,17,22,12,7
591,26,17,4,20,28,8,7
592,23,13,0,26,20,27,17
593,27,0,18,28,28,24,0
594,27,27,6,9,17,0,15
595,5,13,26,6,10,12,22
596,11,10,16,23,9,21,9
597,3,1,8,16,23,18,7
598,25,0,20,27,27,25,14
599,5,17,4,17,13,6,14
600,1,21,23,17,15,10,25
601,10,0,5,10,8,1,12
602,11,23,4,14,16,3,13
603,25,0,16,28,20,26,23
604,0,11,17,17,19,4,26
605,28,17,9,27,16,25,11
606,6,6,3,5,10,11,24
607,23,16,27,15,27,7,11
608,11,23,4,7,14,5,25
609,18,17,6,27,24,19,17
610,24,24,8,5,15,3,3
611,3,26,0,6,4,11,15
612,8,21,4,24,17,6,21
613,26,26,25,21,7,3,15
614,20,14,19,22,25,27,13
615,22,19,17,12,25,17,21
616,21,18,2,11,28,1,15
617,0,3,11,0,8,27,5
618,6,3,2,1,23,18,17
